Defender Utility,Attacker Utility
-30.22015678,30.22015678
-35.80642298,35.80642298
-31.13446762,31.13446762
-36.30075335,36.30075335
-40.88024159,40.88024159
-37.0404579,37.0404579
-38.21525422,38.21525422
-37.87236665,37.87236665
-36.96184758,36.96184758
-36.96184758,36.96184758
-36.96184758,36.96184758
-36.96184758,36.96184758
-36.96184758,36.96184758
-34.62915943,34.62915943
-33.66921276,33.66921276
-33.66921276,33.66921276
-32.75147375,32.75147375
-32.75147375,32.75147375
-32.41801497,32.41801497
-32.41801497,32.41801497
-32.41801497,32.41801497
-32.41801497,32.41801497
-32.41801497,32.41801497
-32.41801497,32.41801497
-32.41801497,32.41801497
-32.41801497,32.41801497
-32.41801497,32.41801497
-32.41801497,32.41801497
-32.41801497,32.41801497
-32.41801497,32.41801497
-32.41801497,32.41801497
-32.41801497,32.41801497
-32.41801497,32.41801497
-32.41801497,32.41801497
-32.41801497,32.41801497
-32.41801497,32.41801497
-32.41801497,32.41801497
-32.41801497,32.41801497
-32.41801497,32.41801497
-32.41801497,32.41801497
-32.41801497,32.41801497
-32.41801497,32.41801497
-32.41801497,32.41801497
-32.41801497,32.41801497
-32.41801497,32.41801497
-32.41801497,32.41801497
-32.41801497,32.41801497
-32.41801497,32.41801497
-32.41801497,32.41801497
-32.41801497,32.41801497
-32.41801497,32.41801497
-32.41801497,32.41801497
-32.41801497,32.41801497
-32.41801497,32.41801497
-32.41801497,32.41801497
-32.41801497,32.41801497
-32.41801497,32.41801497
-31.3126776,31.3126776
-31.3126776,31.3126776
-30.80606526,30.80606526
-30.80606526,30.80606526
-30.80606526,30.80606526
-30.80606526,30.80606526
-30.80606526,30.80606526
-30.80606526,30.80606526
-30.80606526,30.80606526
-30.80606526,30.80606526
-30.80606526,30.80606526
-30.80606526,30.80606526
-30.80606526,30.80606526
-30.80606526,30.80606526
-30.80606526,30.80606526
-30.80606526,30.80606526
-30.80606526,30.80606526
-30.80606526,30.80606526
-30.80606526,30.80606526
-30.80606526,30.80606526
-30.80606526,30.80606526
-30.80606526,30.80606526
-30.80606526,30.80606526
-30.80606526,30.80606526
-30.80606526,30.80606526
-30.80606526,30.80606526
-30.80606526,30.80606526
-30.80606526,30.80606526
-30.80606526,30.80606526
-30.80606526,30.80606526
-30.80606526,30.80606526
-30.80606526,30.80606526
-30.80606526,30.80606526
-30.80606526,30.80606526
-30.80606526,30.80606526
-30.80606526,30.80606526
-30.80606526,30.80606526
-30.80606526,30.80606526
-30.80606526,30.80606526
-30.80606526,30.80606526
-30.80606526,30.80606526
-30.80606526,30.80606526
-30.80606526,30.80606526
